"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","names","hgnc_symbol","entrezgene_id"
"149",30.4988475596329,1.31488466908243,0.369217535827276,3.56127361647728,0.000369060237307475,0.0395188916874297,"ENSG00000006659","LGALS14",56891
"367",485.901571392544,1.9006923817963,0.318004771848039,5.97693037985152,2.27381313116849e-09,3.26958086739663e-06,"ENSG00000016402","IL20RA",53832
"1530",389.586969391927,1.35719465645206,0.338568882963112,4.00862195182873,6.1074097162933e-05,0.0113840986109908,"ENSG00000081479","LRP2",4036
"2240",59.5112238576496,1.62637818529018,0.334864487355667,4.85682491485807,1.1928297781743e-06,0.000533619028098375,"ENSG00000100298","APOBEC3H",164668
"2569",42.5918256204806,1.21073239049484,0.342327231150104,3.53676915046224,0.000405053544608607,0.0418160661872608,"ENSG00000101883","RHOXF1",158800
"2570",42.5918256204806,1.21073239049484,0.342327231150104,3.53676915046224,0.000405053544608607,0.0418160661872608,"ENSG00000101883","RHOXF1",104797536
"4772",343.443525788166,1.33014478405299,0.353712820661698,3.76052183114161,0.000169559275517858,0.0231416798335593,"ENSG00000118492","ADGB",79747
"4899",25.3891141775361,1.52550341390109,0.38657062830496,3.94624759928124,7.93855222453385e-05,0.0137768098993182,"ENSG00000119698","PPP4R4",57718
"10685",23.7496507895616,1.23693767649092,0.344658748885992,3.58887647706307,0.0003321061406389,0.0368354199294859,"ENSG00000162892","IL24",11009
"10784",83.3988743848458,2.46723487832933,0.545958118453543,4.51909184044724,6.21054521017492e-06,0.0020003917700165,"ENSG00000163288","GABRB1",2560
"11406",25.181647703847,1.5255385706345,0.353764036597359,4.3123054149532,1.61561050508622e-05,0.00427945461551193,"ENSG00000165462","PHOX2A",401
"11802",7.04668039163,1.05041374916364,0.235109673842777,4.46776064972159,7.90426730502541e-06,0.00239279406191679,"ENSG00000167046","",NA
"12755",215.028999306212,1.29832472118448,0.335101333506999,3.8744242154959,0.000106877095841449,0.0168010015797378,"ENSG00000171246","NPTX1",4884
"13347",17.1692900305842,1.88452171090993,0.381020993108564,4.94597868620056,7.57622489015129e-07,0.000367510803044905,"ENSG00000174279","EVX2",344191
"13785",3.21057161565569,1.67183252531972,0.42167694671335,3.96472355994412,7.34810527487558e-05,0.0130330138580194,"ENSG00000176774","MAGEB18",286514
"14280",124.124857342724,1.7197556738942,0.472566002240609,3.63918619989632,0.000273500993746831,0.0317189021662497,"ENSG00000179455","MKRN3",7681
"15264",3.9243506137288,3.16027107212521,0.906860166444408,3.48484936163413,0.000492414174073584,0.048355071894026,"ENSG00000184895","SRY",6736
"16916",1.1323924115195,2.1132152769524,0.536000753701952,3.94256027133774,8.06163821475213e-05,0.0138708409317244,"ENSG00000198390","KRTAP13-1",140258
"17178",79.7334418527892,1.38256780269789,0.312726070088769,4.421018696348,9.82366725263932e-06,0.00290226626294501,"ENSG00000199377","RNU5F-1",26828
"17243",5.3769520840021,1.23346091957586,0.294867591056731,4.18310101546071,2.87559540770764e-05,0.00681344081971165,"ENSG00000199879","RNVU1-22",NA
"17271",77.5845563727463,1.33101269983172,0.350657230720318,3.79576573138834,0.000147188441328473,0.0209402863065971,"ENSG00000200156","RNU5B-1",26832
"17273",18.7000543112998,1.22714397009664,0.323488332138696,3.79347212303936,0.000148555315816173,0.0210603314274323,"ENSG00000200169","RNU5D-1",26830
"17566",4.56155427484399,1.6262117432118,0.388766815146249,4.18300039986704,2.87686885736173e-05,0.00681344081971165,"ENSG00000202515","VTRNA1-3",56662
"17720",15.0701660778969,1.25334172385644,0.314392063586587,3.98655649750923,6.70391698419709e-05,0.0122132626976354,"ENSG00000204071","TCEAL6",158931
"18275",71.3608246947234,1.85446794255222,0.342484564387617,5.4147489708569,6.13747496076454e-08,4.84523562490788e-05,"ENSG00000206585","RNVU1-7",26864
"18352",20.9085107937146,1.67158799278837,0.276303165426354,6.04983294421909,1.44996109944005e-09,2.24532053021752e-06,"ENSG00000206828","RNVU1-30",NA
"18450",13.848946458865,1.53637544414697,0.37554893442633,4.09101265722897,4.29493687664662e-05,0.00891354373853332,"ENSG00000207205","RNVU1-15",101954267
"18479",1.56702979626859,2.07509999897885,0.55629578808759,3.73020979740389,0.000191320394728505,0.0250095510797372,"ENSG00000207349","RNVU1-17",101954269
"19929",105.407354504146,1.29822758951364,0.356935387650754,3.63715012416729,0.000275671274514787,0.0317189021662497,"ENSG00000218819","TDRD15",100129278
"20210",1.59617100324447,1.33996004697488,0.340427877828504,3.93610551380843,8.28145731951217e-05,0.0141283065507711,"ENSG00000222259","RN7SKP114",NA
"20217",2.86025576598558,1.31635538095171,0.370188809678386,3.55590268137856,0.000376683505433676,0.0400159137091574,"ENSG00000222293","RNU2-36P",NA
"20255",8.30986295927758,1.24994467030043,0.350228653625308,3.56893891279862,0.000358429979701127,0.0388978648051935,"ENSG00000222626","RNU2-48P",NA
"20463",8.37969155755834,1.46106540936474,0.295177333698204,4.94978862726149,7.42941244636552e-07,0.000364784151116547,"ENSG00000223725","MYOSLID-AS1",NA
"20625",65.7353324983092,1.76464695106988,0.329557765042713,5.35459072202765,8.57502889815211e-08,6.27723297268e-05,"ENSG00000224122","POU6F2-AS1",NA
"20717",2.61380661816417,1.70209227224262,0.415920328852221,4.09235171779108,4.27020304468001e-05,0.00891354373853332,"ENSG00000224342",NA,NA
"21341",9.0654200331356,1.12900805635206,0.290258801176877,3.88966002675684,0.00010038475496556,0.0162971411468684,"ENSG00000225790",NA,NA
