"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","names","hgnc_symbol","entrezgene_id"
"9626",27.8551490395537,-1.47884958626554,0.38298867256693,-3.86134027503672,0.00011276672202724,0.0172574992205638,"ENSG00000154646","TMPRSS15",5651
"9666",431.846921200854,-1.40948835092787,0.382443314788116,-3.6854830413463,0.000228269282558393,0.0281919566084847,"ENSG00000155011","DKK2",27123
"9723",1333.02261844902,-1.02784096550532,0.262593292622372,-3.9141935242932,9.07068660853407e-05,0.0151536922918174,"ENSG00000155657","TTN",7273
"9773",833.856264716116,-2.49583208299616,0.513675038352205,-4.85877626252275,1.18113514825837e-06,0.000533619028098375,"ENSG00000156076","WIF1",11197
"9790",25.9946106078107,-1.77455117125837,0.388189352225201,-4.57135457499332,4.84581528445924e-06,0.00163951441162099,"ENSG00000156219","ART3",419
"9852",13.6582848572172,-1.220131316557,0.312853504377563,-3.90000846877042,9.61893233556094e-05,0.0158072430079328,"ENSG00000156738","MS4A1",931
"9865",24.9103812222871,-1.86610960606254,0.455925318642368,-4.09301596063879,4.2579839919085e-05,0.00891354373853332,"ENSG00000156885","COX6A2",1339
"9880",363.276082728229,-1.38561510935327,0.375239980533753,-3.69261054587608,0.000221963805244228,0.0278402078714739,"ENSG00000157005","SST",6750
"9896",71.8601307642846,-3.40667222997007,0.441371402420299,-7.71838005654486,1.1781745601132e-14,8.31856807191023e-11,"ENSG00000157119","KLHL40",131377
"10000",36.582027905628,-1.6413544579272,0.378047754782838,-4.34165905540173,1.41410852257415e-05,0.00388204799853889,"ENSG00000158022","TRIM63",84676
"10141",600.425920564129,-3.39658507614681,0.910358226514109,-3.73104232731857,0.000190689178774065,0.0250095510797372,"ENSG00000159182","PRAC1",84366
"10162",3864.66731923235,-3.15266851898954,0.543733614940616,-5.79818578870438,6.70361622538217e-09,7.93826460195109e-06,"ENSG00000159251","ACTC1",70
"10182",399.476957981867,-1.21866889685431,0.320609305433392,-3.8011027010178,0.000144053574726043,0.0207138750914998,"ENSG00000159387","IRX6",79190
"10268",744.673437993489,-1.86652809111704,0.289768351971742,-6.44144910379676,1.18338133947345e-10,2.64696108277111e-07,"ENSG00000160183","TMPRSS3",64699
"10712",55.0605750365642,-2.86147208278669,0.529765862426492,-5.40139009652351,6.61264479651106e-08,5.11996739994478e-05,"ENSG00000162992","NEUROD1",4760
"10741",103.971973777118,-4.44566795572214,0.684082627989699,-6.49872950112261,8.10011538784835e-11,2.174178971637e-07,"ENSG00000163092","XIRP2",129446
"10810",99.4022181017063,-1.73242214797053,0.342014435341343,-5.06534803491995,4.07654870800219e-07,0.000215960531686295,"ENSG00000163380","LMOD3",56203
"10841",61.5468225844149,-1.06724745276033,0.269566825786222,-3.9591201537785,7.52263858217376e-05,0.0132840559033105,"ENSG00000163492","CCDC141",285025
"11075",55.4035710061856,-1.75064700722236,0.472929526381465,-3.70170799149954,0.000214153000811543,0.0270289282717064,"ENSG00000164122","ASB5",140458
"11086",102.172357331606,-1.18006818888043,0.255697121772869,-4.61510157290181,3.92903111011842e-06,0.00138763728557533,"ENSG00000164161","HHIP",64399
"11132",88.4555633706941,-1.653529313404,0.355150031358061,-4.65586137520826,3.22628967640779e-06,0.0011495298668277,"ENSG00000164303","ENPP6",133121
"11269",12.4942866772353,-1.73981729214741,0.472018904971404,-3.68590595381516,0.000227890501906138,0.0281919566084847,"ENSG00000164871","SPAG11B",10407
"11270",12.4942866772353,-1.73981729214741,0.472018904971404,-3.68590595381516,0.000227890501906138,0.0281919566084847,"ENSG00000164871","SPAG11B",653423
"11271",12.4942866772353,-1.73981729214741,0.472018904971404,-3.68590595381516,0.000227890501906138,0.0281919566084847,"ENSG00000164871","SPAG11B",124906741
"11441",126.40901879521,-3.30052276091102,0.575921272893141,-5.73085752559693,9.99241724457683e-09,1.13173475959867e-05,"ENSG00000165606","DRGX",644168
"11522",45.197696334347,-1.98091701250165,0.38595849884761,-5.13246118019488,2.85977724333961e-07,0.000169324046134323,"ENSG00000165917","RAPSN",5913
"11561",8.92353205725233,-1.20007950501421,0.336542668514074,-3.56590595276635,0.000362601397863795,0.0390818123437761,"ENSG00000166111","SVOP",55530
"11620",79.3404574956287,-1.09589032790646,0.307524038127891,-3.56359240915896,0.00036581383073548,0.0392757238748584,"ENSG00000166317","SYNPO2L",79933
"11649",788.884604376936,-1.61793768755721,0.307447296595563,-5.26248793036407,1.42118996463497e-07,9.3803197305136e-05,"ENSG00000166426","CRABP1",1381
"11777",1.36098754117334,-1.64480397897528,0.430970711547912,-3.81650988084007,0.000135352657403982,0.0200351790161732,"ENSG00000166926","MS4A6E",245802
"12012",392.445661512225,-1.57843780012867,0.302325662566503,-5.22098516787822,1.779737965048e-07,0.000113484890514412,"ENSG00000167941","SOST",50964
"12042",303.422063473061,-1.65160381828483,0.308082381262614,-5.36091616637103,8.28009393171293e-08,6.17357670145603e-05,"ENSG00000168032","ENTPD3",956
"12114",64.6713832247919,-1.73513747898661,0.352787055872335,-4.91837058674431,8.72675817348383e-07,0.000408554346024193,"ENSG00000168334","XIRP1",165904
"12132",84.5740366932472,-1.10125273476356,0.276967131451536,-3.97611344346922,7.00507183699495e-05,0.0125350312133818,"ENSG00000168421","RHOH",399
"12138",131.486966406242,-1.00936747781687,0.273591766246479,-3.6893196446107,0.000224854565186982,0.0280281563577656,"ENSG00000168453","HR",55806
"12154",107.825603747903,-3.03770522904408,0.420444116312647,-7.22499164855765,5.01132633988654e-13,2.5220752637064e-09,"ENSG00000168509","HJV",148738
"12162",468.149834484953,-1.36007957320339,0.276462784287672,-4.9195756192203,8.67320559078147e-07,0.000408554346024193,"ENSG00000168546","GFRA2",2675
"12193",1526.5214016454,-1.19408771287431,0.284406182256635,-4.19852938286979,2.68653998469342e-05,0.00649728485478375,"ENSG00000168743","NPNT",255743
"12204",22.7800062127851,-1.84344112538649,0.429595057021087,-4.29111344569313,1.77779457588813e-05,0.00464789384509143,"ENSG00000168779","SHOX2",6474
"12298",39.607860335109,-1.02788696954393,0.279241836011626,-3.68099201833473,0.000232328278565808,0.0284316144426036,"ENSG00000169174","PCSK9",255738
"12331",75.7269456483362,-3.66653686999707,0.871184578733151,-4.20867972126967,2.56867177840815e-05,0.00632870857720516,"ENSG00000169271","HSPB3",8988
"12404",30.6732815487692,-1.88058435411408,0.502479955598609,-3.74260571622946,0.000182121873513135,0.0244419695712861,"ENSG00000169676","DRD5",1816
"12445",14.4786839505501,-2.07972714583742,0.438925772418688,-4.73822062071486,2.15603012405218e-06,0.000834673892832587,"ENSG00000169885","CALML6",163688
"12487",15.6462994090948,-1.20957291836681,0.331136550360998,-3.65279192843002,0.000259404423327895,0.0308998251243423,"ENSG00000170074","FAM153A",285596
"12492",9.88394899769526,-1.54550612365669,0.353815420148201,-4.36811409465797,1.25324021893493e-05,0.00357857855991192,"ENSG00000170091","NSG2",51617
"12516",18.0750658471874,-1.77155164488693,0.371747915485465,-4.76546490536058,1.88418692183457e-06,0.000758611338469033,"ENSG00000170231","FABP6",2172
"12532",133.405492515149,-2.45112308718699,0.578602933713492,-4.23627836011064,2.27255023958385e-05,0.00575455457522799,"ENSG00000170290","SLN",6588
"12594",1.2759946694605,-1.78701422405654,0.513100073738331,-3.48277912150111,0.000496237610809047,0.0484417505834045,"ENSG00000170523","KRT83",3889
"12644",17.8547327170524,-1.24271059447685,0.348078631069992,-3.57020076370894,0.000356707732569905,0.038815585753323,"ENSG00000170807","LMOD2",442721
"12881",1818.82887976996,-1.15928498675657,0.327686917132315,-3.5377823347414,0.00040350254023796,0.041763031555426,"ENSG00000171843","MLLT3",4300
"12943",70.7252951301008,-2.5230930108551,0.403153857320089,-6.25838737505085,3.88978651408883e-10,7.4576468871545e-07,"ENSG00000172137","CALB2",794
"12953",69.2945853635557,-1.85812135789178,0.462213470480774,-4.02005020744862,5.81857398125937e-05,0.0110636956750191,"ENSG00000172179","PRL",5617
"13000",283.035977386441,-4.23640500322847,0.596891189540784,-7.09744938015877,1.2708032811566e-12,5.68500907843634e-09,"ENSG00000172399","MYOZ2",51778
"13021",18.4011247526268,-2.09204259344558,0.511269784218791,-4.09185650711233,4.27933430974462e-05,0.00891354373853332,"ENSG00000172482","AGXT",189
"13032",20.2216800308048,-1.58011068213282,0.382189722151385,-4.13436204730523,3.55941980743333e-05,0.0077885521895044,"ENSG00000172551","MUCL1",118430
"13357",468.081837756847,-1.11387246965541,0.315361574016592,-3.53204880185184,0.000412353248943019,0.0422446984960403,"ENSG00000174348","PODN",127435
"13371",4.42737810555286,-1.47952329651659,0.373852134095105,-3.95750929735288,7.57353405330942e-05,0.01331552960936,"ENSG00000174429","ABRA",137735
"13495",2576.60468440562,-1.37156449338597,0.340178200150045,-4.03190002410798,5.53277243652555e-05,0.0108136157203588,"ENSG00000175084","DES",1674
"13561",243.068412675135,-1.74549103800496,0.410771684235879,-4.24929737124394,2.14442087383755e-05,0.0054644729887625,"ENSG00000175426","PCSK1",5122
"13793",688.600990823606,-1.5587951952895,0.414421744214143,-3.76137405204306,0.000168982504474973,0.0231414067862972,"ENSG00000176842","IRX5",10265
"13875",58.9863078339001,-2.20627309627181,0.401114188353752,-5.50036164346808,3.79013060840496e-08,3.24677103309789e-05,"ENSG00000177238","TRIM72",493829
"13880",12.2687926451666,-1.73217830922095,0.370938007127729,-4.66972452522097,3.0160390062838e-06,0.00108421216491963,"ENSG00000177291","GJD4",219770
"13893",164.43094548213,-1.2063831969753,0.329035088728185,-3.66642719364162,0.000245962904677451,0.0298107288102507,"ENSG00000177354","C10orf71",118461
"14070",6.20226087651666,-1.89963093322185,0.436360153296971,-4.35335563723902,1.34069392910349e-05,0.00374854298427532,"ENSG00000178287","SPAG11A",10407
"14071",6.20226087651666,-1.89963093322185,0.436360153296971,-4.35335563723902,1.34069392910349e-05,0.00374854298427532,"ENSG00000178287","SPAG11A",653423
"14072",6.20226087651666,-1.89963093322185,0.436360153296971,-4.35335563723902,1.34069392910349e-05,0.00374854298427532,"ENSG00000178287","SPAG11A",124906741
"14397",2088.10821843933,-2.75686612410513,0.471095821455752,-5.85202839538257,4.85613691372926e-09,5.9247813460778e-06,"ENSG00000180209","MYL11",29895
"14496",13.9170178456993,-1.35756211067121,0.376872405089478,-3.60217965639828,0.000315560148690798,0.0351941349212989,"ENSG00000180828","BHLHE22",27319
"14527",90.8020270913128,-3.81683856116267,0.437735167984719,-8.71951545208248,2.79394859881586e-18,5.62449792427621e-14,"ENSG00000180999","C1orf105",92346
"14564",428.94751580499,-1.78446282753018,0.380785732240046,-4.68626494231474,2.78236037674812e-06,0.0010183944862603,"ENSG00000181234","TMEM132C",92293
"14590",528.409039991244,-2.36367168855826,0.504786580016483,-4.68251689353762,2.83373825556418e-06,0.00102785558239212,"ENSG00000181449","SOX2",6657
"14611",15.2987621948583,-2.25619454633369,0.544048401533528,-4.14704746852316,3.36790257013899e-05,0.00753324962660756,"ENSG00000181617","FDCSP",260436
"14678",157.232016264518,-1.20099936245787,0.256200285497524,-4.68773623778602,2.76243733145435e-06,0.0010183944862603,"ENSG00000182103","FAM181B",220382
"14771",75.2109599924239,-2.61177687013823,0.494462354340187,-5.28205402739587,1.27743511915137e-07,8.71730385885971e-05,"ENSG00000182533","CAV3",859
"14810",97.1938308911677,-1.09227766055854,0.314989019930749,-3.46766900255343,0.000524993506378979,0.0499771557177561,"ENSG00000182732","RGS6",9628
"14829",159.830211419568,-2.09381795097204,0.386029607058561,-5.42398280516967,5.82854912245387e-08,4.69338089536475e-05,"ENSG00000182836","PLCXD3",345557
"14888",951.76896813192,-2.39954757642073,0.314323867040372,-7.63399737670105,2.27584546268876e-14,1.3090012859825e-10,"ENSG00000183091","NEB",4703
"14926",2202.29584372206,-1.07826868260976,0.268862455841612,-4.0104843914874,6.0594306284595e-05,0.0113471998122343,"ENSG00000183287","CCBE1",147372
"14997",8.99908003631827,-4.11649266266364,0.848572515296584,-4.85107941685442,1.22791363181474e-06,0.000537372376566575,"ENSG00000183631","PRR32",100130613
"15039",178.182168070593,-1.85846431119152,0.448292868588451,-4.14564772587907,3.38854450397584e-05,0.00753754579110912,"ENSG00000183770","FOXL2",668
"15095",254.353340460531,-1.80367516804762,0.377335383724643,-4.78003189163895,1.75267389977746e-06,0.000727486150029277,"ENSG00000184058","TBX1",6899
"15156",172.849272434293,-1.98545187000835,0.307792861861773,-6.45061051123399,1.11400464033606e-10,2.64696108277111e-07,"ENSG00000184343","SRPK3",26576
"15202",14.4145228403247,-3.29930973500414,0.491963889734201,-6.70640631121664,1.9947581571498e-11,5.73663949451181e-08,"ENSG00000184544","DHRS7C",201140
"15467",663.483552009325,-1.78926402114606,0.312833756419799,-5.7195362854161,1.06815162845237e-08,1.13173475959867e-05,"ENSG00000185739","SRL",6345
"15523",56.2491467490137,-1.03295573192029,0.297609397233857,-3.47084380238375,0.000518825700565926,0.0497356198956793,"ENSG00000185972","CCIN",881
"15765",3.65081101572332,-2.31456900591098,0.534733855888907,-4.32845046263883,1.50162098000708e-05,0.00400809325083729,"ENSG00000187140","FOXD3",27022
"16164",1680.01942749024,-1.12429771060502,0.317736511251725,-3.53845929186998,0.000402469333433695,0.041763031555426,"ENSG00000189058","APOD",347
